Категория,Вопросы,Ответ,Квартал
Даурен,"Что если сделать обед не 1 час а 45 минут, остальные 15 мин с каждого дня использовать в пятницу в конце рабочего дня, то есть в пятницу уходить на 1час 15мин раньше с работы","Дело не в этом, если вам нужно уйти пораньше, то просто уйдите пораньше, если внутри компании нет других правил. Договоритесь с руководителем",Q3 2024
АХО,"работаю в компании не первый год, очень приятно наблюдать, что у нас развивается корпоративная культура, есть различные способы отвлечься от рутины и отдохнуть, между рабочим процессом, в виде комнаты отдыха, тенниса, ps и библиотеки.
но в дополнение к этому я бы так же хотел предложить добавить что то для тех, у кого хобби - музыка. к примеру фортепиано. я думаю среди 500+ сотрудников компании есть те, кому это по душе и на досуге не помешало бы отвлечься именно таким способом. вероятно есть те, кто хотел бы заниматься/научиться или уже умеет.
ведь это тоже прекрасная форма досуга. ","Окей, возможно в рамках музыкальной комнаты решим этот вопрос",Q3 2024
АХО,"Касательно террасы. Задумка хорошая, но нет концепта. Идеи, расширить площадку для использования пятничного времяпрепровождении разместить лаундж зону, а так же зону для гриля (специальной площадки для использования открытого огня с учетом размещения огнетушителя, может быть газовый гриль, без разжигания огня). Еще одного уровня чуть выше для обозревания города и крутых фотографии. Возможности выводить музыку и делать вечеринки, проводить дни рождения.  ","К сожалению не получится. Это просто будет дополнительное меесто для работы и отдыха, возможно, по вечерам будем проводить проектор - смотреть фильмы.
Гриль ставить не будем, так как рядом жилые дома, в которые будет идти дым",Q3 2024
АХО,Почему нельзя на террасе курить? Было бы идеально с кальяном там поработать. Или за этим только в Алматинский офис? :D,"Пока мы не рискуем курить на крыше, мы сильно за это переживаем, на крыше нельзя курить",Q3 2024
Даурен,"Добрый день, Даурен. Я слышал что в некоторых проектах и компаниях  холдинга 
 заложена сумма на обучение сотрудника. Эта опция является обязательной или добровольной для каждого менеджера? Стоит ли рядовому сотруднику рассчитывать  на помощь со стороны компании или только на свои средства?","Сейчас мы перессматриваем концепт по обучению, хотим проверить гипотезу на 7Generation. Каждая компания сама решает выделять деньги на обучени или нет. Нужно в частном порядке решать этот вопрос",Q3 2024
АХО,"Терраса - крутая, но возможность там курить будет не лишней. Может БЦ пойдет на встречу по этому вопросу? Если все аккуратно делать и использовать не возгораемые материалы. ","Пока мы не рискуем курить на крыше, мы сильно за это переживаем, на крыше нельзя курить",Q3 2024
Даурен,"Почему на 10 этаже никто не здоровается или хотя бы не отвечает на приветствие? Даже офис-менеджер не здоровается в ответ (дело было не среди дня в спешке, а в 10 утра). Кажется, такое противоречит нашей корпоративной культуре.","Конечно, это противоречит. 10 этаж - 2 замечание. Здоровайтесь - это же классно!) Офис менеджер, просьба, обратить внимание на этот факт. Как день начнется - так он и продолжится",Q3 2024
Даурен,"Можно ли рассмотреть предложение по добавлению курса по Китайскому языку?) Данный язык имеет очень большой спрос, хотелось бы в такой ходить регулярно как ребята ходят на английский)) Рассмотрите пожалуйста, есть ли и у других сотрудников интерес к Китайскому) Спасибо ❤️",Пока мы не готовы с обучением китайского языка.,Q3 2024
Кадры,Скидка или абонемент на life fitness для сотрудников ,"Переговорим. Попрошу Гульмиру Купешеву, чтоб она договорилась с Life Fitness",Q3 2024
Кадры,"Необходимо рассмотреть возможность при выходе в отпуск материальная помощь в размере 0.5 - 1 от зарплаты. Это может выкупить билеты для смены картины, восстановиться и вернуться на работу свежим и яркими глазами.

Также рассмотреть возможность каждые 2, 4, 6, 8 лет работы в компании надбавку за стаж\выслугу лет в размере 50% от зарплаты. Это хорошо повлияет на стабильность ресурсов, уменьшит текучесть кадров и сделает нас более лучшей компанией","У нас есть отпускные, по законну предусмотренно. Насчет надбавки, каждый год примерно 80% сотрудникам поднимается зарплата.
За выслугу лет зарплату поднимать не будем",Q3 2024
Даурен,"Это правда, что для того, что-бы продвинуться внутри компании по карьерной лесенке нужно хорошо играть в настольный теннис? А вы Даурен хорошо играете?","Давно не играл. А то, что можно продвигаться по карьерной лестнице - наверное шутка)",Q3 2024
АХО,Когда уже в офисе перестанет капать с потолка? Каждый месяц после починки начинается опять...,Я тоже крайне недоволен. Давайте в следующий дождь чекнем. У Орынбека на контроле,Q3 2024
Даурен,"После падения биржи, особенно японской, как думаете будет экономический кризис? США объявит уже о своей рецессии или зассут перед выборами? ","Я понимаю, что падение любой биржы повлият на экономику страны, а возможно и всего мира. Мое мненине не поменяется до выборов",Q3 2024
Даурен,Правда ли что скоро у нас появится 8 группа компаний? ,Навряд ли скоро появится,Q3 2024
Даурен,Можно перенести игровую с 9-го этажа? Мы стараемся здесь работать...,Нужно понять. кому мы мешаем. Решим вопрос. Но на других этажах нет мест для игровой,Q3 2024
Даурен,Кто победит на выборах США по-вашему мнению и как это отразится на Мире и на нас? ,"Я думаю, что Трамп победит, он мне импонирует",Q3 2024
Даурен,"В прошлом году были замечательные курсы от EXPHUB, к сожалению не успела записаться. В этом году они продолжаться, будут ли новые программы? ","Сейчас мы все тестировать будем через 7G, техорда - не подошел подход",Q3 2024
Даурен,"Подскажите, что с BFE.University?
","Будет свой университет, будет свое обучение",Q3 2024
Даурен,"Давайте четко обозначим правила по переработкам и day off. Когда можно брать, как компенсируется, кто согласовывает. ",Комании разные - договоренности разные. Каждая компания будет ставить свои правила,Q3 2024
Даурен,"Что нужно делать, чтобы тоже можно было летать в командировки в Чехию, Дубай, Сингапур?","Работать с компаниями, которые летают туда - Kazdream, MSSP, Keden, Aimap. А внутри компании - хорошо работать. Подойдите к своему руководителю и скажите, что хотите полелететь",Q3 2024
Даурен,"Простите, но лето... Жара... Ежедневный душ 👍, свежая одежда 👍 . Не забываем ✌️","Окей, хорошо",Q3 2024
Даурен,"Даурен, здравствуйте, почему у нас в компании постоянно все встречи переносятся? Даже Спанч-бобы тоже часто переносятся. Может на корпоративном уровне ввести занятия по тайм-менеджменту? ","Этот Спанч Боб не переносили)
До этого да, были постоянные командировки. Если Спан Боб переносится, то это сугубо из-за того, что у меня перегруз

По тайм-менеджменту мы подумаем",Q3 2024
Даурен,"Какие топ-3 авиалинии по-вашему мнению?
","Air Astana 
Qatar Airways
British Airways",Q3 2024
Даурен,Через сколько лет 7G станет единорогом?,5 лет,Q3 2024
АХО,"Добрый день. 
У меня предложение касательно 10го этажа:
Кухня- 4 больших стола и всего 16 посадочных мест. это очень мало особенно в обеденное время. ребятам приходится обедать за стойкой в конце коридора или в одиночных сайлент боксах или кабинетах. также на кухне есть диван который никак не возможно использовать при приеме пиши в обед. Прошу обратить внимание как это сделано на 11м этаже (круглый столик 3 человека одномоментно могут сесть). 

Также у меня обращение ко всем кто на 10м этаже сидит, давайте немного быть аккуратнее на кухне при использовании общих благ предоставленных Компанией. Это - убрать за собой салфетки и протереть стол, убрать молоко в холодильник, вытереть воду вокруг раковины и возле термопота и тд. Да, у нас есть человек кто все это делает. НО нас много а она одна! И это не говорит о том что она не справляется со своими обязанностями. Давайте ценить то что у нас есть! Спасибо за понимание!","Классный отзыв! Столы новые заказали, в течении недели должны придти, а если их не будет хватать, то закажем еще. 
Касательно отношение к кухни - все четко написано. Убирайте за собой, апайка одна, давайте уважать друг друга",Q3 2024
АХО,"Даурен, давайте сменить офис. Условия реально ужасные, в кабинетах идёт дождь, дует ветер, холодно и сыро. Это же базовая потребность сотрудника, мед и облепиха Это конечно здорово, но какой в ней смысл, если в кабинетах в куртках сидишь. ","Передали администрации, вопрос решается, мы в курсе этих проблем - держим на контроле, БЦК центр наняли команду, которая будет отвечать за все эти вопросы
Возьмем у БЦК дедлайн по решению проблем, если не справятся, будем искать новый офис",Q4 2024
Event,"Я посмотрел ролик про экосистему BFE. Там было много что хорошего про ""печенья и плюшки"", но нет ничего про технологичность и профессионализм. Нету того что привлекало бы крутых специалистов. 
Проводятся много эвентов, это круто. Но хотелось бы еще эвентов направленные на технологическое развитие. Например хакатоны, технические митапы, батлы, технические мозговые штурмы, обмен опытом как между проектами так и между компаниями. Да есть ребут, но он проходит один раз в год и доклады в основном общего характера. 
Думаю что бы это реализовать нужен отдельный технический человек, не HR, который не будет прикреплен к проекту и операционке, а заниматься только технологическим развитием BFE. ","Согласен, что это нужно. В некоторых компаниях проводятся. Технологическая часть внутри каждой компании заложены подобные мероприятия на 25 год, кроме Аймап и Пропипл

Возьмем на контроль проведение тех. мероприятия внутри групп компаний, именно с точки зрения стратегий",Q4 2024
АХО,"Даурен, здравствуйте. Можно ли сделать какую-то комнату отдыха отдельную от игровой, где можно провести время в тишине? Позаниматься йогой, почитать книгу, помедитировать, поспать. В офисах и игровой высокий уровень шума, сложно отдохнуть. 
И еще можно выделить какую-то комнату, где можно позаниматься спортом? Не обязательно ставить туда тренажеры, как мне кажется достаточно йога матов и гантелек. И чтобы ее тоже можно было бронировать. ","В кабинеты закупим пуфики, возможно, раздадим повязки для лица, пока так. Я за такое помещение, но пока его нет, поэтому будем организовывать внутри кабинет.

Как мы и говорили раннее, йогу и подобные активности мы пока не можем организовать на 12 этаже, в связи с тех. проблемами. Продумаем это момент",Q4 2024
Event,"можно ли всем пройти обучение у спец компании по оказанию скорой помощи? Приём геймлиха , что делать при пожаре или если замкнула розетка. Если кто-то теряет сознание, как оказать первую помощь. Недавно один человек подавился на моих глазах, я не смогла оказать первую помощь , но спасли (не я). Ещё недавно лифт чуть не упал, потом сработал сигнал пожарный и выбежали мало людей, ещё смеялись над теми кто вышел, а мог ведь быть реальный пожар ","Давайте так, моменты связаны с пожарной безопасностью/лифтами, выложим видео в LiveNews
А с оказанием медицинской помощи проведем офлайн мероприятие, пригласим специалиста ",Q4 2024
АХО,"Можно пожалуйста вариант завтрака для тех кто придерживается правильного питания, типа вареных яиц или каши без сахара.",Будем готовить каши без сахара,Q4 2024
АХО,готовить кашу на безлактозном молоке,"Поставим еще одну мультиварку и будем готовоить на безлактозном молоке, либо воде",Q4 2024
HR,"Добрый день!не хочу никого обидеть но  честно сказать уровень hr generalist в kd group становится ниже чем в других компаниях,мне кажется туда нужны новые лица которые будут включки или хотя бы у них будет запал в глазах и стремление , спасибо !","Есть определенная нехватка людей в настоящий момент в Kazdream Group порядка 200 сотрудников, возможно из-за этого такой вопрос
на блоке HR трудятся 2 человека 

Отвечу на этот вопрос более детально позже",Q4 2024
Битрикс,На прошлых спанчбобах поднималась тема возмещения за использования своего ноутбука вместо рабочего,"Стандартизируем этот вопрос, добавим в базу знаний",Q4 2024
Event,"Можно ли добавить за дримкоины заказ книг по профессиональной литературе? Можно в виде сертификатов, например на 3к, 5к, 10к?","Добавим в битрикс, куда вы сможете добавлять свои варианты книг  их будут покупать.",Q4 2024
Event,"Добавить ментора-наставника или ресурс-менеджера не только в период испытательного срока, а на постоянной основе (можно по желанию) чтобы вместе составлять план по росту или разбирать рабочие кейсы, когда нужно мнение или совет со стороны.",Обращайтесь к вашим коллегам и просите их быть вашим ментором. Ментор может получить дримкоины,Q4 2024
Event,"Мы хотели бы узнать, есть ли возможность организовать бесплатные тренировки по волейболу на площадке возле нашего офиса 1-2 раза в неделю. Мы будем самостоятельно собирать команду.","Давайте мы будем давать дримкоины тем, кто обучает коллег волейболу.",Q4 2024
АХО,"Добрый день ! было бы не плохо добавить по 3-й микроволновке ,очередь собирается аж до холодильника во время обеда ((( ,установите пожалуйста цветной принтер на 10 этаже, не успеваем бегать за распечаткой (((","Микроволновку добавим
Принтер стоит",Q4 2024
АХО,"Здравствуйте!
Можно ли вернуть одноразовые стаканчики в ГТС для тех, кто иногда туда приходит по работе. Бывает работы затягиваются на долго, и хочется попить кофе или просто даже воды. Спасибо.",Вернем стаканчики в ГТС,Q4 2024
АХО,утяжелитель на 10ый тоже не помешал бы,"Будет и на 10, и на 11 этажах",Q4 2024
АХО,"Можете сделать побольше сайлент боксов, пожалуйста? Сейчас сделали один дополнительный на этажах в тестовом режиме, но этого мало как будто. Часто конф.румы занимает один человек, который мог бы провести созвон и в сайлент боксе.",На каждом этаже будет по 4 закрытых сайлентбоксов,Q4 2024
АХО,"Приветствую! Во-первых, большое спасибо, что установили на всех этажах турники. Очень удобная и полезная вещь, помогает активизировать работу мозга, размять мышцы.  Активно использую сам, и зову своих коллег. 
Мое предложение: установить складные настенные брусья. Это отличное сочетание: турник + брусья. Складные отлично подойдут, чтобы не загораживать проход. Брусья укрепляют и увеличивают мышцы груди и рук. Пусть наши сотрудники/-цы будут стройные и накаченные :)
P/s: недавно еще закупили утяжелитель(жилет), скоро так соберем тренажерный зал :) И кстати, есть такой вот вариант https://homfit.ru/brus-stena","Окей, установим брусья",Q4 2024
АХО,"Добрый день! Можно пожалуйста рассмотреть на завтраки вместе с кашами и тостами, подавать что-то без сахара, для тех кто придерживается здорового питания. Может хлеб из более грубых сортов и яйца, овощи. Спасибо большое за возможность высказаться.",Хлеб из грубых сортов добавим,Q4 2024
АХО,"Добрый день! Хотел бы дать комментарии по уборным кабинкам в нашем офисе. Эта тема не раз поднималась, и основная проблема это в звукоизоляции (""чтобы самому не смущаться, и не смущать других""). В то время решением было установить станции Алисы, но как практика показывает, в основном на 11ом этаже, интернет там работает с перебоями и соответственно станция не функционирует постоянно. Все таки хотелось бы иметь кабинки до потолка, однако тут вы уже упоминули проблемы с вентиляцией. Как маленькое предложение, можно установить деревянные двери с отверствиями сделанными под углом таким образом, чтобы людям снаружи не было видно (например: можно посмотреть такой результат в уборных кабинках в ресторане Шишка Premium на Бухар Жырау 28). Дополнительно, можно установить домашние диффузоры в каждой кабинке, а также перед раковиной. В остальном, никаких предъяв по офису и условиям не имеется, всё шикарно :)",Возьмем в работу,Q4 2024
Академия ,"Добрый день! спасибо за всё, что делаете для компании🫶
Оставляю уже несколько заявку через телеграм бот. с августа месяца к сожалению очередь так и не дошла, значит места не освобождаются. 
У меня вопрос можно ли увеличить места на психологическую помощь?",Возьмем вопрос на изучение ,Q4 2024
Даурен,Есть ли у нашей компании развозка? Если есть хотел бы узнать маршруты и часы работы. Если нет то предложение сделать ее. ,Изучим вопрос еще раз. На следующем Спанч Бобе будет ответ.,Q4 2024
АХО,"Здравствуйте! На 10 этаже убрали B-Pay. Думал, что поставят какую-то другую альтернативу, но по сей день ничего (+ один холодильник всегда пустым стоит). Можно, конечно, спускаться на 9 этаж, но это как-то времязатратно и неправильно к коллегам 9 этажа. Спасибо!",Изучим этот вопрос и ответим,Q4 2024
Event,"Добрый день ,Даурен ! Было бы не плохо иметь возможность тренировок в баскетбол в закрытом помещении ,нас очень много желающих как показали соревнования ","Мы готовы пол суммы закрывать. Но нужно изучить вопрос.
",Q4 2024
Event,"Было бы круто внедрить решение используемое в Google. В Google решили, что эффективность управления должны оценивать те, кем руководят. Поэтому раз в полгода сотрудники компании заполняют анкету с 13 вопросами об их руководителе.

Нет, это все не во имя цели вычислить всех несогласных и составить список на выбывание, и даже не для того, чтобы лишить начальника премии, если вдруг на него кто-то пожалуется.

Опрос позволяет руководителю получить конструктивную и честную оценку своей работы от всей команды, но при этом все ответы будут анонимными. Анкета составлена HR-менеджерами Google в рамках программы, направленной на то, чтобы из лучших специалистов получались хорошие руководители.

В Google решили дорабатывать недостатки менеджмента в командах после анализа причин ухода сотрудников. Выяснилось, что чаще всего причиной увольнения оказывалось плохое управление.

Тогда был разработан манифест «8 привычек высокоэффективных менеджеров Google». В нем описали, как должен себя вести успешный и продуктивный руководитель. Получилось, что сотрудников учат управлять, а у команды потом спрашивают, насколько успешно все идет и справляется ли руководитель с текущими проблемами.","Давайте изучим, я в целом не против",Q4 2024
Event,"Всем здравствуйте! Хотела поделиться: специально для тех кто просит массажный кабинет. Я была в США 1,5 месяца и стажировалась в одной из компаний FAANG, так вот в даже в Google в США за поход в массажный кабинет платят ( Social coins либо настоящими деньгами)
Поэтому  непрошеный совет: хотите массаж на работе, идите работать в Google. 
И вообще очень демотивирует слышать как люди хотят массажный кабинет, фондю и прочее: а работать когда?",У нас в ближайшее время появится массажист за дримкоины. Мы долгое время искали человека и проводили отбор,Q4 2024
Финансисты,"Здравствуйте, Даурен.
В преддверии следующего года, может компания организовать ликбез по всеобщему декларированию?","Хорошо, давайте организуем ",Q4 2024
АХО,"Добрый день. Возможно этот вопрос уже поднимался. Сейчас лифты в БЦ работают независимо друг от друга. Из-за этого люди вызывают все 3 и потом получается, что лифты останавливаются по этажам просто так, в холостую или катаются пустые. Нельзя ли настроить их так, как обычно работают лифты: нажал кнопку и приехал какой-то один исходя из оптимального положения. Буду признателен, если передадите этот запрос в БЦ","Окей, запрос передадим. Ответ будет в следующем Спанч Бобе",Q4 2024
АХО,"Почему в холодильнике на 9 этаже почти одни энергетики? Можно ли добавить другие напитки (соки, газировку например)?","Возьмем в работу, Орынбек, Надя - обратную свзь",Q4 2024
АХО,"Добрый день ,а можно по утрам на завтрак протеиновые батончики ? для тех кто тренит ","Нет, но мы переговорим с поставщиком, чтоб они в холодильник поставляли батончики ",Q4 2024
Event,"Добрый день, Даурен! Есть предложение сохранять профессиональные фото/видео с корпоративных мероприятий на наших серверах для архива, вместо временных ссылок в облачные хранилища (которые со временем устаревают или хранилища удаляются фотографом или тем кто загружал фото). Таким образом фото/видео будут доступны в любое время и нет риска их потерять. Спасибо!","Окей, это уже есть - https://portal.propeople.kz/~CTCSD - все фото",Q4 2024
АХО,"Предлагаю на каждом этаже поставить несколько беговых дорожек, и придумать небольшое рабочее место под них, чтобы можно было поставить ноутбук. Так как в основном у всех сидячая работа и никакой физичиской активности нету. Было бы круто, условно час - полтора часа походить и одновременно работать за ноутбуком. Для начала думаю можно хотя бы 1-2 поставить, чтобы посмотреть на сколько это будет актуально ","Поставим - протестируем 
раньше ставили так, никто не пользовался 
Мой совет - пол часа в течении дня прогуляться, подышать, перезагрузится - это очень круто",Q4 2024
АХО,"Добрый день! Можно пожалуйста предусмотреть пауэрбэнк или зарядки для телефонов в офисе. Иногда задерживаешься в офисе и телефон  садится, а спросить не у кого. Спасибо!",Сделаем на барных стоек,Q4 2024
АХО,"Добрый день! 
В первую очень хочу поблагодарить компанию за заботу о сотрудниках! Спасибо!

И пару вопросов и предложений:

1. Гипотеза с дверью на сайлентбоксах работает, 100% не приглушает звук, но это лучше чем ничего. Предложение: доработать идею и заклеить стеклянную дверь так, что был виден только силуэт и проходящие коллеги видели, что он занят. Так мы компенсируем отсутствие приватности. Это будет полезно для тех, кто проводит встречи, например, с психологом 🙌🏼

2. Мед.страховка. Есть возможность ее приобрести, но в то же время мед центр (медикал ассистенс) предоставляет ее в случае «оптовой» продажи, а единичные запросы не обслуживает. Можем ли перед оговориться об условиях?

Благодарю за ответы 🙌🏼
","1. Окей, подумаем
2. Позже отвечу",Q4 2024
Даурен,"Предлагаю переименовать фонд +1 в честь более достойного человека, чем Илон Маск. Несмотря на успешность некоторых его компаний, он человек довольно спорный, излишне медийный и совершенно точно, на мой взгляд, не может являться идеалом, к которому стоит стремиться юным участникам благотворительных акций. Стоит учесть, что, как человек, он ещё вполне жив и очень даже ангажирован, и его вклад в человечество ещё только предстоит оценить. Ну а в акциях фонда он не участвует, насколько мне известно.

Можно также не называть фонд в честь реального человека вообще, например ""+1 Iron Man"" звучит тоже неплохо.","Окей, давайте подумаем. Обсудим с коллегами  фонда. На следующем Спанч Бобе будет ответ.",Q4 2024
Event,"Корпоративное ""Онлайн BFE Radio""
Идея, не нова, но заключается в запуске корпоративного онлайн-радио для наших коллег на праздники и особенные события компании. Эфиры можно транслировать в такие дни из подкаст рума.
Концепция:
1.	Живой ведущий — Ведущий координирует эфир, делится увлекательными историями о компании, поздравлениями и анонсирует выступления гостей, создавая атмосферу праздника.
2.	Гости компании и их истории — Приглашенные гости, например, сотрудники, могут делиться историями о своем опыте работы, достижениях команды или рассказывать забавные случаи, произошедшие за время их работы.
3.	Музыка на любой вкус — В зависимости от праздника можно сделать тематические плейлисты. Добавить рубрики по заявкам, где сотрудники смогут передавать друг другу музыкальные приветы.
4.	Эфир для тех, кто создает музыку — Пространство для творческих сотрудников, где можно представить свои треки и музыку, добавляя уникальности эфиру.
5.	Рубрика ""Секреты от коллег"" — Советы на праздничную тему, кулинарные лайфхаки, идеи для хобби и полезные рекомендации. 
6.	Игры и викторины — Викторины по истории компании с возможностью выиграть небольшие призы, что добавляет духа вовлеченности.
7.	Поздравления в прямом эфире — Возможность каждому сотруднику или отделу поздравить коллег, поделиться позитивными новостями или пожелать удачи.
Дополнительные идеи:
1.	Мастер-классы в прямом эфире – Возможность провести для коллег мастер классы по организации работы и прочее.
2.	Архив записей — Запись эфиров, чтобы их можно было переслушивать в любой момент или делиться ими с теми, кто не смог подключиться.
3.	Выездные эфиры — Если формат возможен, запланировать эфиры с выездом на локации, где проходит корпоративное мероприятие.","Идея прикольная,изучим, как это можно сделать",Q4 2024
Event,"Есть ли у нас механика оплаты сверхурочных часов или урегулирование ситуации систематических переработок/задержек на рабочем месте?

К сожалению длительная переработка ведет к выгоранию и демотивации сотрудника, не смотря на все плюшки компании)",У нас есть инструмент получения возмещения за переработку. В Битриксе - HR услуги - Заявка на переработку,Q4 2024
Event,"Добрый день! Можно ли рассмотреть бэйджики для гостей и стажеров? Очень много стажеров в последнее время, и в целом посторонних лиц, их вроде в LiveNews не публикуют, а с бэйджиками было бы легче идентифицировать человека. Будет очень круто если реализовать идею с бэйджиками, как и для их, так и для нашей безопасности.","Окей, будут бейджики
",Q4 2024
Event,"Здравствуйте! В офисе на каждом этаже висят телевизоры, и там крутятся классные ролики, но на экранах показывают уже длительное время одно и тоже. Может можно включать новые ролики с анонсами планируемых событий на ближайший месяц и с ДРшками сотрудников, вместо плакатов. Так и экологичнее будет и полезная информация будет всегда на виду",Возьмем в работу,Q4 2024
Event,Как вам крейзи идея сделать в офисе кабинет с музыкальными инструментами? (Как игровая или подкаст рум),"Хорошая идея, проработаем. 
Один из митинг румов будет музыкальный. Тут больше вопрос про дополнительные траты на такой митинг ",Q4 2024
HR,"в 7G очень мало чувствуется работа HR dep. 
людей много, а Ирина как будто одна справлялась лучше. 
от новой команды не чувствуется какой либо дружелюбности/сплоченности как раньше. как будто раздули штат, мероприятие те же, активности стало даже меньше. 
вопрос с грейдированием поднимался, и спущен на тормозах. нам менеджера обещали что будет новый процесс для того чтобы наши зарплаты и грейды росли. ","В команде 7G HR 6 человек:
HRD - 1
Рекрутер - 1
Кадровик - 1
HR - 2 в Астане и 1 в Алматы
Менеджер по развитию талантов - 1. 

Думаю основной вопрос в том, что работа команды не демонстрируется. При этом, мы уже провели 2 эфира со всеми сотрудниками и показывали результаты eNPS, геймификацию и программу стажировки. 
Ниже вкратце результаты команды:
1. Рекрутинг, за 10 месяцев закрыто 70 вакансий, проводится по 90 интервью в месяц
2. Кадры - в месяц проводится до 300 операций, это по 15 задач в день.
3. HR команда новая и внутри распределены зоны ответственности:
Жанель - грейдинг, бизнес процессы, фитбеки. За 3 месяца работы сделаны новые процессы онборлинга, офбординга, геймификацим и до конца года будут доведены доработаны грейды по 6 направлениям из 12. В месяц проводится не менее 30 фитбеков. 
Саида (Астана) отвечает за закупы, онбординг, мероприятия. Всего в году 30 мероприятий. 
Саида (Алматы) по совместительству офис менеджер и отвечает за все HR вопросы по Алматы
4. Менеджер по развитию талантов работает над большим проектом по созданию новых специалистов на джун позиции, который будет запущен в ноябре.

Выводы и решение необходимо принимать на данных, показатель eNPS 7G за 12 мес увеличился на 36% и достиг 59%, что показывает результаты работы команды HR.

Татьяня с командой отчитается в конце года по всем результатам, спасибо за вопрос! Ответ будет в следующем спанч бобе",Q4 2024
